item_no,route_name,route_version_id,process_name,process_version_id,affected_orders,work_record_count,quantity,reference_old_price_versions,reference_unit_price_yuan,reference_valid_from,reference_note,settlement_decision,confirmed_unit_price_yuan,confirmed_valid_from,confirmed_valid_to,confirmation_reason,operator_name,operator_id,approver_name,approver_id
1,SB81直壳生产流程,,焊接,,26062411;26062908;26070802,59,59,56,1.235,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,1.235,2026-06-01 00:00:00,,业务确认追溯使用,,,,
2,SB81直壳生产流程,,喷漆,,26062411;26062908;26070802,19,19,57,0.200,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.200,2026-06-01 00:00:00,,业务确认追溯使用,,,,
3,SB81直壳生产流程,,打磨,,26062411;26062908;26070802,37,37,58,0.270,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.270,2026-06-01 00:00:00,,业务确认追溯使用,,,,
4,SB81直壳生产流程,,铆接,,26062411;26062908;26070802,83,83,59,0.732,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.125,2026-06-01 00:00:00,,业务确认追溯使用,,,,
5,SB81直壳生产流程,,抛丸,,26062411;26062908;26070802,53,53,60,0.140,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.126,2026-06-01 00:00:00,,业务确认追溯使用,,,,
6,SB81直壳生产流程,,镗孔,,26062411;26062908;26070802,21,21,61,0.200,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.200,2026-06-01 00:00:00,,业务确认追溯使用,,,,
7,SB81直壳生产流程,,下料,,26062411;26062908;26070802,88,88,105,0.200,2026-08-01 00:00:00,仅有旧根级工价且生效日晚于历史报工；不得自动追溯,settle,0.200,2026-06-01 00:00:00,,业务确认追溯使用,,,,
8,小宋定 SB50分体机头,,焊接,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,该历史报工不进入应付工资结算，原因是试运行,,,,
9,小宋定 SB50分体机头,,喷漆,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
10,小宋定 SB50分体机头,,打磨,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
11,小宋定 SB50分体机头,,铆接,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
12,小宋定 SB50分体机头,,抛丸,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
13,小宋定 SB50分体机头,,镗孔,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
14,小宋定 SB50分体机头,,下料,,26063003,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,no_settlement,0,2026-06-30 00:00:00,,试运行历史报工不进入应付工资,,,,
15,SB81静音外壳无机头 折弯款,,镗孔,,26062603,1,1,134,0.000,2026-07-17 00:00:00,旧根级工价为 0 元；请明确是零工价还是不结算,zero_price,0,2026-07-17 00:00:00,,该工序纳入台账但确认零工价,,,,
16,正坤SB81三角外壳 标准路线,,喷漆,,26070804,4,4,, , ,没有任何旧根级工价；必须人工决定金额或不结算,zero_price,0,2026-07-08 00:00:00,,试运行期间纳入台账但按零工价处理，原因是试运行,,,,
17,195静音外壳 四片焊接工序路线,,四片焊接静音外壳攻丝,,26072601,1,1,, , ,没有任何旧根级工价；必须人工决定金额或不结算,settle,0.127,2026-07-27 00:00:00,,业务确认追溯使用,,,,
18,正坤121分体 前封条款 标准路线,72,加工分体下端面,10,26072701,9,9,, , ,重点人工确认项；禁止按相似路线自动套用,settle,0.500,2026-07-27 00:00:00,,负责人确认加工分体下端面单价,,,,
